scenario,time_step,time_sec,num_nominal_samples,num_uncertain_samples,wasserstein_x,wasserstein_y,wasserstein_z,wasserstein_xyz_mean
mass_only,144,0.6,100,50,0.06771321297560359,0.07087983596675387,0.05346015590238469,0.06401773494824738
mass_only,168,0.7,100,50,0.06356179974920748,0.0661591589856696,0.05617661049263965,0.06196585640917224
mass_only,192,0.8,100,50,0.059060160951812754,0.061511905007594854,0.058578050382743496,0.0597167054473837
mass_only,216,0.9,100,50,0.054322059846583365,0.05711825094957375,0.060188713041550206,0.0572096746125691
mass_only,240,1.0,100,50,0.04922757802782429,0.05261887702736949,0.06185047976874081,0.05456564494131153
mass_only,264,1.1,100,50,0.044129870317001704,0.047642913262054214,0.06287239454722214,0.05154839270875935
mass_only,288,1.2,100,50,0.038947042791409765,0.04262078742362948,0.06378569521723806,0.04845117514409244
mass_only,312,1.3,100,50,0.03390425817909411,0.03727431480327695,0.0647428721523016,0.045307148378224214
mass_only,336,1.4,100,50,0.02868919182294417,0.03132654182218002,0.06523141805433148,0.04174905056648522
mass_only,360,1.5,100,50,0.02343313212429273,0.025518523841636262,0.06605102557651789,0.03833422718081563
mass_only,384,1.6,100,50,0.01894157545746952,0.020366927658315256,0.06644800250239205,0.035252168539392274
mass_only,408,1.7,100,50,0.014885428112065065,0.015883621804280424,0.06689592543940848,0.03255499178525132
mass_only,432,1.8,96,49,0.012721827487156237,0.015115883473459192,0.0673081485185356,0.03171528649305034
mass_only,456,1.9,80,44,0.011528519110029294,0.01719037154320655,0.06765854218397323,0.032125810945736355
mass_only,480,2.0,29,21,0.007718960380184596,0.018353410326120034,0.06965834714973554,0.031910239285346725
mass_thrust_combo,0,0.0,100,50,0.07815114373747309,0.08471296448484719,0.03338147616667913,0.06541519479633313
mass_thrust_combo,24,0.1,100,50,0.0779612753332931,0.08440723727946439,0.041472713368288686,0.06794707532701538
mass_thrust_combo,48,0.2,100,50,0.0770793952837047,0.08311177894535157,0.05003740864610646,0.0700761942917209
mass_thrust_combo,72,0.3,100,50,0.075344453251711,0.08058008694263918,0.061078338524726966,0.07233429290635905
mass_thrust_combo,96,0.4,100,50,0.07318233301543245,0.07702823340396137,0.07055393377500571,0.07358816673146651
mass_thrust_combo,120,0.5,100,50,0.07028035971283789,0.07265446456383094,0.07935700354122706,0.07409727593929862
mass_thrust_combo,144,0.6,100,50,0.06652360411899275,0.06853850402218073,0.08657143485524951,0.07387784766547432
mass_thrust_combo,168,0.7,100,50,0.062404312150896785,0.0634493347777146,0.0925648645920796,0.072806170506897
mass_thrust_combo,192,0.8,100,50,0.057937236790530325,0.059001627950252745,0.09773955544648699,0.07155947339575669
mass_thrust_combo,216,0.9,100,50,0.053280286459344746,0.05494208139563897,0.1013880719695626,0.0698701466081821
mass_thrust_combo,240,1.0,100,50,0.04846389047836583,0.051290620387224595,0.10477928489233745,0.06817793191930929
mass_thrust_combo,264,1.1,100,50,0.043659890618109425,0.04694969756455681,0.10711690944387708,0.0659088325421811
mass_thrust_combo,288,1.2,100,50,0.03873426795226765,0.04257457537153342,0.10906620324281455,0.06345834885553854
mass_thrust_combo,312,1.3,100,50,0.0339373261032847,0.03743983380368272,0.11100175420214914,0.06079297136970552
mass_thrust_combo,336,1.4,100,50,0.02922897033374108,0.03143577931987129,0.11216577232784421,0.05761017399381887
mass_thrust_combo,360,1.5,100,50,0.02423602429457799,0.02589731052171657,0.11370855206218686,0.05461396229282714
mass_thrust_combo,384,1.6,100,50,0.01971020392524298,0.021338404471693755,0.11468156002612714,0.05191005614102129
