scenario,trial,seed,start_x,start_y,start_z,goal_x,goal_y,goal_z,unc_mass,unc_inertia,unc_thrust,unc_yaw_coeff,time_step,time_sec,x,y,z,effective_mass_scale,effective_inertia_scale,effective_thrust_scale,effective_yaw_coeff_scale
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,960,4.0,1.2952608260838694,2.20240561040393,1.313511204172004,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,984,4.1,1.2964637619633381,2.1765823658372017,1.3138546771280997,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,1008,4.2,1.2975762807412692,2.1526829545761257,1.314048576849438,1.3473513859352455,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,0,0.0,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,24,0.1,-0.8459350510973835,-1.0477765677014694,1.0842822425343384,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,48,0.2,-0.8360258589779982,-1.032741997884413,1.1217318461148396,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,72,0.3,-0.8098956166266333,-0.9941014567803373,1.1523184416162153,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,96,0.4,-0.7626059578171848,-0.9252432586405888,1.1775520443858813,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,120,0.5,-0.6924364074163383,-0.8240504581040023,1.1981248721264306,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,144,0.6,-0.5998288211142891,-0.6911291436977295,1.2162176685259896,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,168,0.7,-0.487457410107368,-0.5299532317176361,1.2321592363800118,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,192,0.8,-0.35896024855548386,-0.34527309106274023,1.2463113536111297,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,216,0.9,-0.21830103455892913,-0.14238348448376892,1.2594362377398505,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,240,1.0,-0.06960053524334839,0.0730016738617297,1.270814000406197,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,264,1.1,0.08345377159419369,0.29560968384797787,1.281197502443156,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,288,1.2,0.23746080371302386,0.5204157137362944,1.2901695363938235,1.232643972587224,1.0,1.0,1.0
